Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-31,119.84077192840331,120.68772681679894,118.44826279599178,120.16219652968041,6187409.156974124,0.0,0.0
2020-08-03,120.16000722568613,120.9525861764818,119.07584795472803,120.17404618425283,4784082.822862146,0.0020931853658404027,0.0
2020-08-04,120.3312410205744,122.4571771627025,119.75671150450795,122.28515844268449,5011790.184342966,0.0,0.0
2020-08-05,122.34018043565649,122.80868382547375,120.90906099711894,121.75380819484968,5196800.273875684,0.0,0.0
2020-08-06,121.52635708154652,122.58175897051426,121.13400233727451,121.92678467148305,3980729.1608484164,0.0013179012249579093,0.0
2020-08-07,121.83777911229107,122.86241103333684,121.20503355651476,122.24439413344058,4448809.720531377,0.0,0.0
2020-08-10,122.30230287871585,123.46765367037271,121.59286188612845,122.87780217453398,4647873.7718209755,0.0,0.0
2020-08-11,123.47695675335832,123.91157729361299,121.02857413300335,121.50381591159282,6138453.657224208,0.0,0.0
2020-08-12,121.97225092045967,124.00656456279813,121.34456090327096,123.25668385724636,4709020.888994586,0.0,0.0
2020-08-13,123.1471566544935,124.06573813000396,122.4644450444055,123.16846762255702,4296431.961870842,0.12372945623114306,0.0
2020-08-14,123.2079384098965,123.8801584214051,122.64995534183126,123.25653740966384,4226403.405762311,0.0,0.0
2020-08-17,123.79856987105653,125.08150121886791,123.38452837605001,124.52999640806922,5752795.586165372,0.0,0.0
2020-08-18,124.81732608857189,125.73910629396154,123.27026964571013,124.57294914395385,8838870.217047302,0.014020891014815316,0.0
2020-08-19,124.54436093874386,124.97722540526547,123.13246898731907,123.6057131947645,6820479.816211113,0.0,0.0
2020-08-20,122.37836930996878,123.27004882665315,121.64144568778501,122.52170746560448,4998379.884422513,0.013848568011442401,0.0
2020-08-21,122.59235147436057,123.99733074051464,121.89030880152956,123.38579614582224,5634600.891797463,0.0,0.0
2020-08-24,123.88766780184548,124.73451747873655,122.8299995349129,123.98223066907657,4350805.377991215,0.0,0.0
2020-08-25,124.11553052594623,124.44326647507789,122.80111605793974,123.76173596759824,4233139.486605164,0.0,0.0
2020-08-26,123.25577558267571,124.33198614639372,122.71828482328219,124.00440771810604,5088796.746324509,0.0,0.0
2020-08-27,124.35202292435669,127.05716289506634,123.76781198017059,125.63826091745867,12139861.947072491,0.008868295910149596,0.0
2020-08-28,126.76532422525509,127.76075193803698,125.31419673767839,127.31524217720255,8557529.551549587,0.02175807199606625,0.0
2020-08-31,126.45325913283725,127.50666695910847,125.35266516122616,126.89783848319078,7707876.187949248,0.012995032964926607,0.0
2020-09-01,127.00724945419373,129.68313886422158,125.87963459798563,128.5988252274285,11551995.91677445,0.0,0.0
2020-09-02,129.7229888267704,131.7497131771592,128.14922850714916,130.52962901964804,9409053.516520068,0.0,0.0
2020-09-03,130.78198826721115,132.18847370038372,126.28222997662569,127.68849130345491,9289128.257081458,0.1417402298793392,0.0
2020-09-04,128.25965079405626,128.89691584972437,124.86028753581682,126.94479472649313,7593972.759091482,0.0,0.0
2020-09-08,126.19243474501287,126.73541449966855,123.49943582396556,124.19706720005932,7417457.435637742,0.0,0.0
2020-09-09,125.04528782066367,127.67562184221511,124.68969675314153,126.1070838573755,7228070.262565682,0.0,0.0
2020-09-10,126.10104700159518,126.83384173887244,123.56389331507187,123.94937547780438,6878288.371623118,0.0,0.0
2020-09-11,124.33646892487226,125.39827492087156,123.08040050581656,124.26631116078322,6556086.574569026,0.0,0.0
2020-09-14,124.65542054988512,126.76334246535666,124.21697096392809,125.21116080794843,6714494.434401375,0.09031899234206837,0.0
2020-09-15,125.74330276536645,126.6249297443943,124.60190598799032,125.04113123973556,6056692.935266946,0.0,0.0
2020-09-16,125.75510574310483,126.45011845535453,124.2649389320554,124.53975894411477,6263449.540225562,0.0,0.0
