"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"COUP","Coupa Software Incorporated","252.28","$17.37B","2016","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/coup",
"CVLG","Covenant Logistics Group, Inc.","17.45","$298.99M","n/a","Transportation","Trucking Freight/Courier Services","https://old.nasdaq.com/symbol/cvlg",
"CVET","Covetrus, Inc.","19.65","$2.5B","n/a","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/cvet",
"COWN","Cowen Inc.","16.91","$467.96M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/cown",
"COWNL","Cowen Inc.","26.8","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/cownl",
"COWNZ","Cowen Inc.","25.4937","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/cownz",
"CPSH","CPS Technologies Corp.","1.64","$21.81M","n/a","Capital Goods","Building Materials","https://old.nasdaq.com/symbol/cpsh",
"CRAI","CRA International,Inc.","39.3","$307.56M","1998","Miscellaneous","Other Consumer Services","https://old.nasdaq.com/symbol/crai",
"CBRL","Cracker Barrel Old Country Store, Inc.","131.21","$3.11B","1981","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/cbrl",
"BREW","Craft Brew Alliance, Inc.","15.63","$305.49M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/brew",
"CRTD","Creatd Inc.","3.15","$10.46M","n/a","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/crtd",
"CRTDW","Creatd Inc.","0.94","n/a","n/a","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/crtdw",
"CREX","Creative Realities, Inc.","1.12","$11.67M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/crex",
"CREXW","Creative Realities, Inc.","0.1708","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/crexw",
"CACC","Credit Acceptance Corporation","336.6","$5.94B","1992","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/cacc",
